case_id,ct_path,mk_path,plane,index,roi,real_fill,classes,mask_pixels,roi_pixels,ct_crop_shape,mask_crop_shape
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,48,"(np.int64(101), np.int64(181), np.int64(53), np.int64(133))",0.03656005859375,"[0, 1]",599.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,50,"(np.int64(102), np.int64(182), np.int64(53), np.int64(133))",0.0435791015625,"[0, 1]",714.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,52,"(np.int64(103), np.int64(183), np.int64(53), np.int64(133))",0.0364990234375,"[0, 1]",598.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,54,"(np.int64(57), np.int64(137), 0, np.int64(80))",0.03924560546875,"[0, 2]",643.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,56,"(np.int64(57), np.int64(137), 0, np.int64(80))",0.0545654296875,"[0, 2]",894.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,58,"(np.int64(57), np.int64(137), 0, np.int64(80))",0.07293701171875,"[0, 2]",1195.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,58,"(np.int64(63), np.int64(143), np.int64(119), 199)",0.04132080078125,"[0, 3]",677.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,60,"(np.int64(55), np.int64(139), 0, np.int64(84))",0.0767822265625,"[0, 2]",1258.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,60,"(np.int64(65), np.int64(145), np.int64(119), 199)",0.05224609375,"[0, 3]",856.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,60,"(np.int64(109), 189, np.int64(32), np.int64(112))",0.0450439453125,"[0, 2, 4, 5, 8]",738.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,60,"(np.int64(109), 189, np.int64(72), np.int64(152))",0.04248046875,"[0, 4, 5, 8]",696.0,16384.0,"(5, 128, 128)","(128, 128)"
