size,color,sample
282,3,origdata - Cropped.maskSet.header
4244,4,origdata - Cropped.maskSet.header
4110,5,origdata - Cropped.maskSet.header
244,6,origdata - Cropped.maskSet.header
280,7,origdata - Cropped.maskSet.header
10,8,origdata - Cropped.maskSet.header
12,9,origdata - Cropped.maskSet.header
230,10,origdata - Cropped.maskSet.header
30,11,origdata - Cropped.maskSet.header
228,12,origdata - Cropped.maskSet.header
224,13,origdata - Cropped.maskSet.header
166,14,origdata - Cropped.maskSet.header
774,15,origdata - Cropped.maskSet.header
134,16,origdata - Cropped.maskSet.header
130,17,origdata - Cropped.maskSet.header
122,18,origdata - Cropped.maskSet.header
822,19,origdata - Cropped.maskSet.header
30,20,origdata - Cropped.maskSet.header
30,21,origdata - Cropped.maskSet.header
70,22,origdata - Cropped.maskSet.header
12,23,origdata - Cropped.maskSet.header
