case_id,ct_path,mk_path,plane,index,roi,real_fill,classes,mask_pixels,roi_pixels,ct_crop_shape,mask_crop_shape
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,50,"(np.int64(102), np.int64(182), np.int64(53), np.int64(133))",0.0435791015625,"[0, 3]",714.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,54,"(np.int64(57), np.int64(137), 0, np.int64(80))",0.03924560546875,"[0, 4]",643.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,58,"(np.int64(57), np.int64(137), 0, np.int64(80))",0.07293701171875,"[0, 4]",1195.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,58,"(np.int64(63), np.int64(143), np.int64(119), 199)",0.04132080078125,"[0, 5]",677.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,62,"(np.int64(54), np.int64(144), 0, np.int64(90))",0.084228515625,"[0, 4, 10]",1380.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,62,"(np.int64(63), np.int64(143), np.int64(119), 199)",0.07208251953125,"[0, 5]",1181.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,62,"(np.int64(109), 189, np.int64(33), np.int64(113))",0.06292724609375,"[0, 4, 6, 7, 10]",1031.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,62,"(np.int64(109), 189, np.int64(72), np.int64(152))",0.05340576171875,"[0, 6, 7, 10]",875.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,62,"(np.int64(85), np.int64(165), np.int64(54), np.int64(134))",0.056884765625,"[0, 6, 7, 10]",932.0,16384.0,"(5, 128, 128)","(128, 128)"
origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.maskSet,axial,66,"(np.int64(53), np.int64(147), 0, np.int64(94))",0.10150146484375,"[0, 4, 10]",1663.0,16384.0,"(5, 128, 128)","(128, 128)"
