sample_nr,DATA_1,MASKSET_1,MASKSET_1_HDR,VOXELIZED,MASK_DESC_0,MASK_DESC_1
001-275,,,,done\voxelizedSurfaces.rdata,done/2021_3_24_14_54_44__MASK_0_0.mask,done/2021_3_24_14_54_44__MASK_1_0.mask
002M 25+5,done/002M-25+5 _CT - Cropped_1.rdata,done\002M-25+5 _CT - Cropped_1.maskSet,done\002M-25+5 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_1_8_17_9_45__MASK_0_0.mask,done/2021_1_8_17_9_45__MASK_1_0.mask
003F 23+6,done/003F23+6_CT - Cropped_1.rdata,done\003F23+6_CT - Cropped_1.maskSet,done\003F23+6_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_1_9_11_53_54__MASK_0_0.mask,
004F 29+0,done/004F29+0_CT - Cropped_1.rdata,done\004F29+0_CT - Cropped_1.maskSet,done\004F29+0_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_1_9_12_9_1__MASK_0_0.mask,
005F 21+6,done/005F21+6_CT - Cropped_1.rdata,done\005F21+6_CT - Cropped_1.maskSet,done\005F21+6_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
006-293,done/006-293 _CT - Cropped_1.rdata,done\006-293 _CT - Cropped_1.maskSet,done\006-293 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_24_14_55_57__MASK_0_0.mask,done/2021_3_24_14_55_57__MASK_1_0.mask
007-275,done/007-275 _CT - Cropped_1.rdata,done\007-275 _CT - Cropped_1.maskSet,done\007-275 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_24_14_57_11__MASK_0_0.mask,done/2021_3_24_14_57_11__MASK_1_0.mask
008-290,done/008-290 _CT - Cropped_1.rdata,done\008-290 _CT - Cropped_1.maskSet,done\008-290 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
009F 29+6,done/009F29+6_CT - Cropped_1.rdata,done\009F29+6_CT - Cropped_1.maskSet,done\009F29+6_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
010F 24+1,done/010F24+1_CT - Cropped_1.rdata,done\010F24+1_CT - Cropped_1.maskSet,done\010F24+1_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,done/2021_1_20_12_19_24__MASK_1_0.mask
011-200,tyylko crop/011-200 _CT - Cropped_1.rdata,tyylko crop\011-200 _CT - Cropped_1.maskSet,tyylko crop\011-200 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_21_13_51_1__MASK_0_0.mask,
013-290,done/013-290 _CT - Cropped_1.rdata,done\013-290 _CT - Cropped_1.maskSet,done\013-290 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_21_13_58_46__MASK_0_0.mask,
014M 23+3,done/014M23+3_CT - Cropped_1.rdata,done\014M23+3_CT - Cropped_1.maskSet,done\014M23+3_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
015F 27+5,done/015F-27+5 _CT - Cropped_1.rdata,done\015F-27+5 _CT - Cropped_1.maskSet,done\015F-27+5 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_1_25_15_48_42__MASK_0_0.mask,
016-250,done/016-250 _CT - Cropped_1.rdata,done\016-250 _CT - Cropped_1.maskSet,done\016-250 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2019_11_21_14_25_18__MASK_0_0.mask,
017M 29+6,done/017M-29+6 _CT - Cropped_1.rdata,done\017M-29+6 _CT - Cropped_1.maskSet,done\017M-29+6 _CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,,
018F 25+0,done/018F25+0_CT - Cropped_1.rdata,done\018F25+0_CT - Cropped_1.maskSet,done\018F25+0_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_19_10_59_38__MASK_0_0.mask,done/2021_3_19_10_59_38__MASK_1_0.mask
019F 20+6,done/019F20+6_CT - Cropped_1.rdata,done\019F20+6_CT - Cropped_1.maskSet,done\019F20+6_CT - Cropped_1.maskSet.header,done\voxelizedSurfaces.rdata,done/2021_3_19_11_8_33__MASK_0_0.mask,done/2021_3_19_11_8_33__MASK_1_0.mask
