case_id,ct_path,mk_path,plane,index,roi,real_fill,classes,mask_pixels,roi_pixels,ct_crop_shape,mask_crop_shape
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,91,"(np.int64(65), np.int64(81), np.int64(33), np.int64(49))",0.00390625,"[0, 8]",64,16384,"(5, 128, 128)","(128, 128)"
003F23+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\003F 23+6\done\003F23+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\003F 23+6\done\voxelizedSurfaces.rdata,axial,62,"(np.int64(80), np.int64(96), np.int64(64), np.int64(80))",0.00390625,"[0, 1]",64,16384,"(5, 128, 128)","(128, 128)"
004F29+0_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\004F 29+0\done\004F29+0_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\004F 29+0\done\voxelizedSurfaces.rdata,axial,66,"(np.int64(37), np.int64(53), np.int64(68), np.int64(84))",0.00390625,"[0, 9]",64,16384,"(5, 128, 128)","(128, 128)"
005F21+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\005F 21+6\done\005F21+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\005F 21+6\done\voxelizedSurfaces.rdata,axial,65,"(np.int64(103), np.int64(119), np.int64(54), np.int64(70))",0.00390625,"[0, 13]",64,16384,"(5, 128, 128)","(128, 128)"
008-290 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\008-290\done\008-290 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\008-290\done\voxelizedSurfaces.rdata,axial,103,"(np.int64(9), np.int64(25), np.int64(67), np.int64(83))",0.00390625,"[0, 10]",64,16384,"(5, 128, 128)","(128, 128)"
013-290 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\013-290\done\013-290 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\013-290\done\voxelizedSurfaces.rdata,axial,96,"(np.int64(20), np.int64(36), np.int64(62), np.int64(78))",0.00390625,"[0, 14]",64,16384,"(5, 128, 128)","(128, 128)"
017M-29+6 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\017M 29+6\done\017M-29+6 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\017M 29+6\done\voxelizedSurfaces.rdata,axial,45,"(np.int64(74), np.int64(90), np.int64(132), np.int64(148))",0.00390625,"[0, 11]",64,16384,"(5, 128, 128)","(128, 128)"
019F20+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\019F 20+6\done\019F20+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\019F 20+6\done\voxelizedSurfaces.rdata,axial,48,"(np.int64(23), np.int64(39), np.int64(86), np.int64(102))",0.00390625,"[0, 12]",64,16384,"(5, 128, 128)","(128, 128)"
042M-20+0 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\042M 20+0\done\042M-20+0 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\042M 20+0\done\voxelizedSurfaces.rdata,axial,50,"(np.int64(60), np.int64(76), np.int64(68), np.int64(84))",0.00390625,"[0, 5]",64,16384,"(5, 128, 128)","(128, 128)"
043-250 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\043-250\done\043-250 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\043-250\done\voxelizedSurfaces.rdata,axial,28,"(np.int64(99), np.int64(115), np.int64(6), np.int64(22))",0.00390625,"[0, 7]",64,16384,"(5, 128, 128)","(128, 128)"
064M-23+3 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\064M 23+3\done\064M-23+3 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\064M 23+3\done\voxelizedSurfaces.rdata,axial,62,"(np.int64(46), np.int64(62), np.int64(71), np.int64(87))",0.00390625,"[0, 6]",64,16384,"(5, 128, 128)","(128, 128)"
