case_id,ct_path,mk_path,plane,index,roi,real_fill,classes,mask_pixels,roi_pixels,ct_crop_shape,mask_crop_shape
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,15,"(np.int64(40), np.int64(56), np.int64(108), np.int64(124))",0.03125,"[0, 11]",512,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,16,"(np.int64(41), np.int64(57), np.int64(109), np.int64(125))",0.18359375,"[0, 11]",3008,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,17,"(np.int64(42), np.int64(58), np.int64(109), np.int64(125))",0.33203125,"[0, 11]",5440,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,17,"(np.int64(42), np.int64(58), np.int64(48), np.int64(64))",0.13671875,"[0, 12]",2240,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,18,"(np.int64(41), np.int64(59), np.int64(109), np.int64(127))",0.354248046875,"[0, 11]",5804,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,18,"(np.int64(43), np.int64(59), np.int64(48), np.int64(64))",0.28515625,"[0, 12]",4672,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,19,"(np.int64(42), np.int64(60), np.int64(109), np.int64(127))",0.41790771484375,"[0, 11]",6847,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,19,"(np.int64(44), np.int64(60), np.int64(48), np.int64(64))",0.38671875,"[0, 12]",6336,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,20,"(np.int64(41), np.int64(61), np.int64(108), np.int64(128))",0.37359619140625,"[0, 11]",6121,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,20,"(np.int64(43), np.int64(61), np.int64(47), np.int64(65))",0.36663818359375,"[0, 12]",6007,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,21,"(np.int64(41), np.int64(61), np.int64(108), np.int64(128))",0.39483642578125,"[0, 11]",6469,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,21,"(np.int64(44), np.int64(62), np.int64(46), np.int64(64))",0.41534423828125,"[0, 12]",6805,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,22,"(np.int64(41), np.int64(63), np.int64(108), np.int64(130))",0.34967041015625,"[0, 11]",5729,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,22,"(np.int64(44), np.int64(62), np.int64(46), np.int64(64))",0.44525146484375,"[0, 12]",7295,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,23,"(np.int64(41), np.int64(63), np.int64(108), np.int64(130))",0.35845947265625,"[0, 11]",5873,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,23,"(np.int64(43), np.int64(63), np.int64(45), np.int64(65))",0.38787841796875,"[0, 12]",6355,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,24,"(np.int64(41), np.int64(63), np.int64(108), np.int64(130))",0.35882568359375,"[0, 11]",5879,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,24,"(np.int64(43), np.int64(63), np.int64(45), np.int64(65))",0.40521240234375,"[0, 12]",6639,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,25,"(np.int64(41), np.int64(63), np.int64(108), np.int64(130))",0.34375,"[0, 11]",5632,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,25,"(np.int64(43), np.int64(63), np.int64(45), np.int64(65))",0.41436767578125,"[0, 12]",6789,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,26,"(np.int64(41), np.int64(63), np.int64(108), np.int64(130))",0.3192138671875,"[0, 11]",5230,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,26,"(np.int64(43), np.int64(65), np.int64(44), np.int64(66))",0.34759521484375,"[0, 12]",5695,16384,"(5, 128, 128)","(128, 128)"
002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,axial,27,"(np.int64(41), np.int64(63), np.int64(108), np.int64(130))",0.2862548828125,"[0, 11]",4690,16384,"(5, 128, 128)","(128, 128)"
