,sample_nr,type,ct,mk,ok
0,001-275,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\origdata - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\voxelizedSurfaces.rdata,True
1,001-275,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\orig-bones - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\001-275\done\voxelizedSurfaces.rdata,True
2,002M 25+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,True
3,002M 25+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\002M-25+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\002M 25+5\done\voxelizedSurfaces.rdata,True
4,003F 23+6,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\003F 23+6\done\003F23+6_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\003F 23+6\done\voxelizedSurfaces.rdata,True
5,003F 23+6,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\003F 23+6\done\003F23+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\003F 23+6\done\voxelizedSurfaces.rdata,True
6,004F 29+0,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\004F 29+0\done\004F29+0_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\004F 29+0\done\voxelizedSurfaces.rdata,True
7,004F 29+0,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\004F 29+0\done\004F29+0_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\004F 29+0\done\voxelizedSurfaces.rdata,True
8,005F 21+6,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\005F 21+6\done\005F21+6_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\005F 21+6\done\voxelizedSurfaces.rdata,True
9,005F 21+6,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\005F 21+6\done\005F21+6_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\005F 21+6\done\voxelizedSurfaces.rdata,True
10,006-293,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\006-293\done\006-293 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\006-293\done\voxelizedSurfaces.rdata,True
